genres,id,vote_average,keywords
"[{'id': 16}, {'id': 35}, {'id': 10751}]",862.0,<8.0>,"[{'id': 931}, {'id': 4290}, {'id': 5202}, {'id': 6054}, {'id': 9713}, {'id': 9823}, {'id': 165503}, {'id': 170722}, {'id': 187065}]"
"[{'id': 12}, {'id': 14}, {'id': 10751}]",8844.0,<8.0>,"[{'id': 10090}, {'id': 10941}, {'id': 15101}, {'id': 33467}, {'id': 158086}, {'id': 158091}]"
"[{'id': 10749}, {'id': 35}]",15602.0,<8.0>,"[{'id': 1495}, {'id': 12392}, {'id': 179431}, {'id': 208510}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",31357.0,<8.0>,"[{'id': 818}, {'id': 10131}, {'id': 14768}, {'id': 15160}, {'id': 33455}]"
[{'id': 35}],11862.0,<6.0>,"[{'id': 1009}, {'id': 1599}, {'id': 2246}, {'id': 4995}, {'id': 5600}, {'id': 10707}, {'id': 13149}, {'id': 33358}, {'id': 170521}]"
"[{'id': 28}, {'id': 80}, {'id': 18}, {'id': 53}]",949.0,<8.0>,"[{'id': 642}, {'id': 703}, {'id': 974}, {'id': 1523}, {'id': 3713}, {'id': 7281}, {'id': 9727}, {'id': 9812}, {'id': 9826}, {'id': 9937}, {'id': 10051}, {'id': 10085}, {'id': 10594}, {'id': 10726}, {'id': 15076}, {'id': 18023}, {'id': 34117}, {'id': 156121}, {'id': 159343}, {'id': 159434}, {'id': 167104}, {'id': 192261}, {'id': 207268}, {'id': 208009}, {'id': 214983}]"
"[{'id': 35}, {'id': 10749}]",11860.0,<8.0>,"[{'id': 90}, {'id': 380}, {'id': 2072}, {'id': 9398}, {'id': 9492}, {'id': 33626}]"
"[{'id': 28}, {'id': 12}, {'id': 53}]",9091.0,<6.0>,"[{'id': 949}, {'id': 1562}, {'id': 1653}, {'id': 193533}]"
"[{'id': 12}, {'id': 28}, {'id': 53}]",710.0,<8.0>,"[{'id': 701}, {'id': 769}, {'id': 1308}, {'id': 2812}, {'id': 3268}, {'id': 3272}, {'id': 3278}, {'id': 3376}, {'id': 3531}, {'id': 3560}, {'id': 3561}, {'id': 3562}, {'id': 3563}, {'id': 3564}, {'id': 193008}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",9087.0,<8.0>,"[{'id': 833}, {'id': 840}, {'id': 1605}, {'id': 33476}, {'id': 211505}]"
"[{'id': 35}, {'id': 27}]",12110.0,<6.0>,"[{'id': 3633}, {'id': 11931}]"
"[{'id': 10751}, {'id': 16}, {'id': 12}]",21032.0,<8.0>,"[{'id': 1994}, {'id': 6411}, {'id': 9880}, {'id': 15162}, {'id': 15169}, {'id': 158175}, {'id': 158370}, {'id': 158371}]"
"[{'id': 36}, {'id': 18}]",10858.0,<8.0>,"[{'id': 840}, {'id': 2946}, {'id': 4240}, {'id': 5565}, {'id': 6086}, {'id': 6165}]"
"[{'id': 28}, {'id': 12}]",1408.0,<6.0>,"[{'id': 911}, {'id': 1454}, {'id': 1969}, {'id': 3799}, {'id': 5470}, {'id': 12988}]"
"[{'id': 18}, {'id': 80}]",524.0,<8.0>,"[{'id': 383}, {'id': 726}, {'id': 1228}, {'id': 2635}, {'id': 33625}]"
"[{'id': 18}, {'id': 10749}]",4584.0,<8.0>,"[{'id': 420}, {'id': 818}, {'id': 964}, {'id': 2755}, {'id': 7564}, {'id': 10911}, {'id': 11109}, {'id': 15060}, {'id': 156507}, {'id': 156510}, {'id': 156512}]"
"[{'id': 80}, {'id': 35}]",5.0,<8.0>,"[{'id': 612}, {'id': 613}, {'id': 616}, {'id': 622}, {'id': 922}, {'id': 2700}, {'id': 12670}, {'id': 160488}, {'id': 187056}, {'id': 198129}]"
"[{'id': 80}, {'id': 35}, {'id': 12}]",9273.0,<8.0>,"[{'id': 409}, {'id': 1551}, {'id': 2526}, {'id': 5155}]"
"[{'id': 28}, {'id': 35}, {'id': 80}]",11517.0,<6.0>,"[{'id': 380}, {'id': 1552}, {'id': 14512}, {'id': 155735}, {'id': 156120}]"
"[{'id': 35}, {'id': 53}, {'id': 80}]",8012.0,<8.0>,"[{'id': 395}, {'id': 416}, {'id': 818}, {'id': 8438}, {'id': 9826}, {'id': 9935}, {'id': 10391}, {'id': 10594}, {'id': 11061}, {'id': 11578}, {'id': 12094}, {'id': 12396}, {'id': 13142}, {'id': 14536}, {'id': 14819}, {'id': 14964}, {'id': 33879}, {'id': 159608}]"
"[{'id': 18}, {'id': 53}]",1710.0,<8.0>,"[{'id': 796}, {'id': 2800}, {'id': 4668}, {'id': 5430}, {'id': 10714}, {'id': 11268}, {'id': 13001}]"
"[{'id': 28}, {'id': 12}, {'id': 80}, {'id': 53}]",9691.0,<6.0>,"[{'id': 271}, {'id': 441}, {'id': 591}, {'id': 974}, {'id': 977}, {'id': 1666}, {'id': 2350}, {'id': 2708}, {'id': 3045}, {'id': 3979}, {'id': 9823}, {'id': 10084}, {'id': 10950}, {'id': 11148}, {'id': 12355}, {'id': 18107}, {'id': 33456}, {'id': 167861}, {'id': 178929}]"
"[{'id': 18}, {'id': 14}, {'id': 878}, {'id': 53}]",12665.0,<8.0>,"[{'id': 7345}, {'id': 11325}, {'id': 18068}, {'id': 18320}, {'id': 41355}, {'id': 163531}, {'id': 163533}, {'id': 163534}, {'id': 163540}, {'id': 163543}, {'id': 163545}, {'id': 163552}, {'id': 163553}, {'id': 163558}]"
"[{'id': 18}, {'id': 10749}]",451.0,<8.0>,"[{'id': 30}, {'id': 549}, {'id': 567}, {'id': 585}, {'id': 699}, {'id': 725}, {'id': 887}, {'id': 888}, {'id': 922}, {'id': 3737}, {'id': 3927}, {'id': 6059}, {'id': 7464}, {'id': 12670}, {'id': 15237}, {'id': 155793}]"
[{'id': 18}],16420.0,<8.0>,"[{'id': 497}, {'id': 931}, {'id': 9713}, {'id': 17982}]"
