budget,genres,original_language,popularity,production_companies,production_countries,revenue,runtime,vote_count,vote_average
30000000.0,1,1,21.946943,1,1,373554033.0,81.0,5415,1
65000000.0,2,1,17.015539,2,1,262797249.0,104.0,2413,1
21604277.457480315,3,1,11.7129,3,1,68787389.92913067,101.0,92,1
16000000.0,4,1,3.859495,4,1,81452156.0,127.0,34,1
21604277.457480315,4,1,8.387519000000001,1,1,76578911.0,106.0,173,1
60000000.0,5,1,17.924927,5,1,187436818.0,170.0,1886,1
58000000.0,4,1,6.677277,6,2,68787389.92913067,127.0,141,1
21604277.457480315,5,1,2.5611610000000002,7,1,68787389.92913067,97.0,45,1
35000000.0,5,1,5.23158,8,1,64350171.0,106.0,174,1
58000000.0,2,1,14.686035999999998,9,3,352194034.0,130.0,1194,1
62000000.0,4,1,6.318445,10,1,107879496.0,106.0,199,1
21604277.457480315,4,1,5.430331,10,4,68787389.92913067,88.0,210,1
21604277.457480315,6,1,12.140733,8,1,11348324.0,78.0,423,1
44000000.0,7,1,5.092,11,1,13681765.0,192.0,72,1
98000000.0,5,1,7.284477000000001,1,4,10017322.0,119.0,137,1
52000000.0,8,1,10.137389,8,4,116112375.0,178.0,1343,1
16500000.0,8,1,10.673167,12,3,135000000.0,136.0,364,1
4000000.0,9,1,9.026586,13,1,4300000.0,98.0,539,1
30000000.0,9,1,8.205447999999999,1,1,212385533.0,90.0,1128,1
60000000.0,5,1,7.337905999999999,10,1,35431113.0,103.0,224,1
30250000.0,4,1,12.669608,1,1,115101622.0,105.0,305,1
21604277.457480315,8,1,10.701801,5,1,68787389.92913067,124.0,199,1
50000000.0,5,1,11.065939,1,4,30303072.0,132.0,394,1
21604277.457480315,8,1,12.133094,1,1,68787389.92913067,111.0,143,1
3600000.0,8,1,10.332025,9,1,49800000.0,112.0,365,1
21604277.457480315,8,1,1.8458990000000002,10,5,68787389.92913067,123.0,33,1
12000000.0,4,1,8.681325,14,1,27400000.0,100.0,91,1
21604277.457480315,8,1,2.228434,15,3,68787389.92913067,104.0,36,1
18000000.0,10,2,9.822422999999999,1,4,1738611.0,108.0,308,1
21604277.457480315,8,3,1.1009149999999999,1,6,68787389.92913067,108.0,17,1
21604277.457480315,8,1,9.481338000000001,11,1,180000000.0,99.0,249,1
29500000.0,11,1,12.297305,8,1,168840000.0,129.0,2470,1
30000000.0,10,1,14.404764000000002,8,7,254134910.0,89.0,756,1
21604277.457480315,7,1,1.4933610000000002,16,4,68787389.92913067,121.0,16,1
11000000.0,8,1,6.891317,1,1,39363635.0,122.0,350,1
21604277.457480315,4,1,7.777735000000001,1,1,68787389.92913067,101.0,149,1
12000000.0,4,1,9.882383,6,1,68787389.92913067,97.0,828,1
21604277.457480315,8,1,0.894647,1,8,676525.0,106.0,13,1
21604277.457480315,8,1,4.561387,1,3,68787389.92913067,104.0,50,1
10000000.0,5,1,9.87957,1,1,68787389.92913067,119.0,80,1
19000000.0,8,1,10.979269,13,1,68787389.92913067,117.0,30,1
18000000.0,5,1,10.870138,14,1,122195920.0,101.0,452,1
20000000.0,10,1,10.448481,17,1,21284514.0,106.0,177,1
10000000.0,8,1,4.485958,8,1,23574130.0,116.0,38,1
33000000.0,9,1,18.45743,14,1,327311859.0,127.0,5915,1
55000000.0,2,1,13.280069000000001,7,1,346079773.0,81.0,1509,1
6000000.0,8,1,16.302466,1,1,23341568.0,106.0,3334,1
15000000.0,4,1,15.899134,13,1,6700000.0,95.0,145,1
21604277.457480315,8,4,1.361286,18,5,68787389.92913067,116.0,11,1
21604277.457480315,5,1,5.9827639999999995,7,1,68787389.92913067,100.0,41,1
21604277.457480315,8,1,4.093443,13,4,68787389.92913067,115.0,15,1
21604277.457480315,4,1,8.416802,6,1,17519169.0,103.0,39,1
21604277.457480315,4,4,10.168436999999999,18,11,68787389.92913067,108.0,181,1
45000000.0,2,1,10.673296,6,1,68787389.92913067,96.0,136,1
20000000.0,8,1,4.733526,6,1,68787389.92913067,101.0,65,1
21604277.457480315,14,1,7.137117,11,1,106269971.0,137.0,115,1
21604277.457480315,4,1,11.700115,13,1,68787389.92913067,89.0,192,1
21604277.457480315,4,1,2.174487,3,1,68787389.92913067,96.0,14,0
15000000.0,4,1,6.387469,19,1,68787389.92913067,88.0,110,0
21604277.457480315,5,1,2.49535,14,1,2409225.0,92.0,32,0
21604277.457480315,8,1,4.046208,13,1,68787389.92913067,85.0,11,1
21604277.457480315,4,2,2.518051,1,4,68787389.92913067,95.0,43,1
3500000.0,4,1,14.56965,14,1,28215918.0,91.0,513,1
19000000.0,15,1,15.339153,1,1,25836616.0,108.0,1644,1
50000000.0,5,1,5.912223,1,1,11534477.0,91.0,54,0
21604277.457480315,4,1,3.3672760000000004,1,1,718490.0,96.0,36,1
21604277.457480315,8,1,10.412194,14,1,19030691.0,87.0,27,1
15000000.0,4,1,2.936443,3,1,2042530.0,90.0,16,0
20000000.0,15,1,12.758848,1,9,5781885.0,108.0,154,1
21604277.457480315,8,1,5.756462,13,1,68787389.92913067,111.0,74,1
44000000.0,8,1,6.010579,12,1,68787389.92913067,118.0,91,1
21604277.457480315,6,5,1.196256,1,12,68787389.92913067,85.0,20,1
8000000.0,8,1,4.486179,13,1,529766.0,116.0,87,1
900000.0,8,6,2.030174,1,13,68787389.92913067,102.0,26,1
21604277.457480315,8,1,2.1516599999999997,1,3,68787389.92913067,118.0,17,1
38000000.0,5,1,9.568603999999999,11,1,10300000.0,129.0,86,1
16000000.0,2,1,4.814825,4,1,68787389.92913067,88.0,59,1
21604277.457480315,4,1,8.963037,6,1,32.0,87.0,124,1
8169363.0,9,1,6.848591000000001,6,1,8175346.0,90.0,190,1
47000000.0,8,1,12.866139,2,1,12379402.0,104.0,77,1
14000000.0,4,1,9.071127,6,1,19800000.0,100.0,113,0
21604277.457480315,4,1,4.670562,13,1,68787389.92913067,112.0,103,1
50000000.0,5,1,14.957626000000001,4,1,150270147.0,108.0,459,1
3000000.0,8,2,12.108196000000001,1,4,68787389.92913067,98.0,695,1
21604277.457480315,5,1,2.6576470000000003,20,3,68787389.92913067,105.0,13,1
21604277.457480315,8,1,4.8072230000000005,10,1,68787389.92913067,111.0,67,1
7000000.0,4,1,6.904831,1,1,560069.0,91.0,285,1
21604277.457480315,4,1,3.329264,22,1,68787389.92913067,96.0,16,0
18000000.0,8,1,2.464425,19,1,68787389.92913067,106.0,22,1
12000000.0,4,1,9.592265,8,1,41205099.0,92.0,767,1
24000000.0,8,1,5.951077,1,1,182016617.0,135.0,397,1
21604277.457480315,5,1,6.902423,7,1,34327391.0,100.0,93,1
72000000.0,5,1,20.755149,1,1,210000000.0,177.0,3404,1
1300000.0,9,1,14.092713,12,1,28262574.0,114.0,2632,1
